User_name,Datetime,Content,Links,Tweet_ID
poloRamky,2020-12-29T23:59:59.000Z,When the choice is to be right or to be kind ; always make the choice that brings peace... Good Morning & Good Day All STAY SAFE & MAINTAIN SOCIAL DISTANCING,,1344070694556987392
dhartford9,2020-12-29T23:59:59.000Z,Going on it early for contact tracing allows them to be back for the game if they test negative,,1344070693722476545
MaggieJordanACN,2020-12-29T23:59:59.000Z,"While trump golfs  LA hospitals running out of oxygen due to shortage of canisters Pipes carrying oxygen to rooms are overtaxed, freezing  On Sun, 5 hospitals turned away all ambulances Last night, no beds for 30 patients at LAC-USC 18 hr wait for ICU bed latimes.com/california/sto …",https://t.co/VF6KvSEjVg,1344070693575684096
yythethird,2020-12-29T23:59:59.000Z,yo  @elonmusk  will I need a Covid vaccine to go live on Mars,https://x.com/elonmusk,1344070693424652291
IPrincessKitten,2020-12-29T23:59:59.000Z,"Not everyone can shield. What about children who live with their grandparents? I had covid in my household, its very hard to shield from someone in your own house, we all got it. Not to mention, people of all ages can die or get seriously ill from covid. One is one too much.",,1344070693340798977
vberg8675309,2020-12-29T23:59:59.000Z,As she touches her mask three times in 60 seconds!!! Scam,,1344070692363501571
AuthorLisaFipps,2020-12-29T23:59:59.000Z,"During the year of COVID, each book counts as three. So, you did it!",,1344070691604332545
BillDA,2020-12-29T23:59:59.000Z,Good primer.  TLDR: not good. Still responds to vaccine though.,,1344070691092627457
ChrisLines01,2020-12-29T23:59:59.000Z,"Of course when you speculate on the lifelong health impacts of Covid, that's 'science', but to suggest the virus may not disappear for quite some time and any consistent public policy would therefore require ongoing limits on activities is 'making it up'?",,1344070690979205120
Anne_Other1,2020-12-29T23:59:58.000Z,SAGE need to be sacked.  They are not fit for purpose.  Also NERVTAG.  These people have an agenda to scare us and justify harmful lockdown and vaccinate mentalities.,,1344070690681593856
PasStarNews,2020-12-29T23:59:58.000Z,West Covina firefighters receive COVID-19 vaccine  trib.al/jXIjECo,https://t.co/Mc8qJ3KEYh,1344070689150693383
ScottRickenbach,2020-12-29T23:59:58.000Z,At this point who isn't wearing a mask?,,1344070689054191616
mandaobserver,2020-12-29T23:59:58.000Z,Always wear a mask and goggles. Better to be safe than sorry.,,1344070688727068673
danelove528,2020-12-29T23:59:58.000Z,Sure covid cases are up and comparable to normal seasonal flu numbers of the past WITHOUT useless face diapers or lockdowns.  We are seeing needle in the haystack deaths in contrary to supposed “spikes” in “case numbers”  Why aren’t we being told about the massive recovery rates?,,1344070688508928001
DaveRead,2020-12-29T23:59:58.000Z,"I was ordering facemasks from Amazon 2 weeks into lockdown, thinking surely this will be the norm soon. Was wearing them for supermarket trips long before they were mandated. It's just common sense really, which doesn't seem to be that common any more.",,1344070688420855809
KAKEnews,2020-12-29T23:59:58.000Z,"Biden criticizes pace of vaccine rollout, vows to accelerate:  kake.com/story/43111559 … #KAKEnews",https://t.co/ycoRvRRELo https://x.com/hashtag/KAKEnews?src=hashtag_click,1344070688039182337
DavidDevant2,2020-12-29T23:59:58.000Z,"I think epidemiologists would point to the suggestion that the COVID 19 virus is more infectious than flu viruses, but would also say there will likely be several factors which we will know more about as this is studied more.",,1344070687095484416
IkeB247,2020-12-29T23:59:57.000Z,"Besides, I wear a mask because I don't want to be laid up and miserable for a couple of weeks. I have stuff to do as well as innumerable better things to be afraid of. Like Sabre toothed tigers!",,1344070686684323840
steubens7,2020-12-29T23:59:57.000Z,"dude. you should get some help, you talk about suicide a lot and in an emotionally manipulative way. this is an aspect of suicidal ideation and it looks a whole lot like you're threatening people with your own life  you're also in some sort of manic fugue about the pandemic",,1344070686613123072
hwordmj,2020-12-29T23:59:57.000Z,wait that sounds weird i mean like lockdown and stuff lmao,,1344070684809551872
Snuffle16106950,2020-12-29T23:59:57.000Z,I would to ask this question: Why do all the government parties are still quarantine putting the healthy with the sick still in HQ?  As a lot who were negative from the virus has caught it from other people whist they were in HQ!!!   Please refer this to  @ScottMorrisonMP,https://x.com/ScottMorrisonMP,1344070684612292609
americanshomer,2020-12-29T23:59:57.000Z,Trump: Republicans Blocking Coronavirus Checks Must Have 'Death Wish',,1344070684276908033
SuperAlexKidd,2020-12-29T23:59:57.000Z,SECRETS DE TOURNAGE - THE MASK  youtu.be/SNrs1b5m-G0,https://t.co/HTImF5c4x5,1344070683853258754
lemonsmarty,2020-12-29T23:59:57.000Z,I’m sorry I can’t get to the Market when I’m home. Quarantine and stay holidays have messed up a few regular “coming to Halifax” activities,,1344070683039555587
Ekcoll1,2020-12-29T23:59:57.000Z,"Right.... It's such an out of control pandemic, with all hospitals overrun with cases, that all hospital staff have time to put together and publish these little dance numbers. Wake up, people!!",,1344070682934706177
ahf77118198,2020-12-29T23:59:56.000Z,"US Troops In S.Korea First To Receive Mass Vaccination As Host Country Cases Soar Moderna vaccine made available to some 28,500 US troops as part of emergency authorization...(Durden)",,1344070681789669381
BillnotPhil,2020-12-29T23:59:56.000Z,"So, doesn’t a virus mutating like this mean it’s weaker? Also the vaccine still works, from what I read. So if it’s a weaker strain, folks get less sick and we have a vaccine... this could be good news.",,1344070681672245249
CWV09,2020-12-29T23:59:56.000Z,"$600 is a big F—-U  from Dirtbags making $130,000/year (plus all the bribe money u can get) for a part-time job & never missed a paycheck during the pandemic",,1344070681298923523
connoja,2020-12-29T23:59:56.000Z,It shouldn't cost us 2.4T to send $600 checks... And it shouldn't have to be 3T+ to send $2000 checks. Pass a solitary Covid relief bill.  Period.  Or nothing.,,1344070679277268992
JaymusC57,2020-12-29T23:59:56.000Z,Ok now that you’ve got $$ for your next meal & mortgage payment secured and COVID vaccine how about not killing more people by approving 2k to almost catch up those of us ready for bankruptcy and starvation? Please? We paid our taxes and worked in good faith. Please?,,1344070678702649346
d_lay123,2020-12-29T23:59:56.000Z,That's just hurtful.  Alyssa hasn't been in a movie since way before covid.,,1344070678366994433
CatManDo70,2020-12-29T23:59:55.000Z,"Replying to  @Jim_Jordan  ""As you picked up your musket to free our country, you picked up your common-sense to free our country from Covid-19.""",https://x.com/Jim_Jordan,1344070677049929728
crackerwcheese,2020-12-29T23:59:55.000Z,Slap in the face after slap in the face. The way the “elites” makes it clear as day that this lockdown isnt about anyones safety. If this was as dangerous as they claim YOU THINK any politician would be outside their home let alone on an airplane.,,1344070675875717121
dj_higuma,2020-12-29T23:59:55.000Z,"So you're infected with the coronavirus.....but to what degree? The viral load measurement from a PCR test is the key thing to obtain. And just what is THE value to have? Zero, so DO NOT get a coronavirus infection at all, duh! #clueless #covidiot  nytimes.com/2020/12/29/hea …",https://x.com/hashtag/clueless?src=hashtag_click https://x.com/hashtag/covidiot?src=hashtag_click https://t.co/7Ti8iYpH8w,1344070675791826949
